Time,X_Position,Y_Position,X_Velocity,Y_Velocity,X_Acceleration,Y_Acceleration
0.000,0.000,0.000,3.536,3.536,-0.151,-9.961
0.010,0.035,0.034,3.534,3.436,-0.151,-9.961
0.020,0.071,0.068,3.533,3.336,-0.149,-9.955
0.030,0.106,0.100,3.531,3.237,-0.147,-9.948
0.040,0.141,0.131,3.530,3.137,-0.144,-9.942
0.050,0.177,0.162,3.528,3.038,-0.142,-9.937
0.060,0.212,0.191,3.527,2.939,-0.140,-9.931
0.070,0.247,0.220,3.525,2.840,-0.138,-9.925
0.080,0.282,0.247,3.524,2.740,-0.136,-9.920
0.090,0.318,0.273,3.523,2.641,-0.134,-9.914
0.100,0.353,0.299,3.521,2.542,-0.132,-9.909
0.110,0.388,0.323,3.520,2.443,-0.131,-9.904
0.120,0.423,0.347,3.519,2.344,-0.129,-9.899
0.130,0.458,0.369,3.518,2.245,-0.127,-9.895
0.140,0.493,0.391,3.516,2.146,-0.125,-9.890
0.150,0.529,0.411,3.515,2.047,-0.124,-9.885
0.160,0.564,0.431,3.514,1.949,-0.122,-9.881
0.170,0.599,0.449,3.513,1.850,-0.121,-9.877
0.180,0.634,0.467,3.511,1.751,-0.119,-9.873
0.190,0.669,0.483,3.510,1.652,-0.118,-9.869
0.200,0.704,0.499,3.509,1.554,-0.116,-9.865
0.210,0.739,0.513,3.508,1.455,-0.115,-9.861
0.220,0.774,0.527,3.507,1.357,-0.114,-9.857
0.230,0.809,0.539,3.506,1.258,-0.113,-9.854
0.240,0.844,0.551,3.505,1.160,-0.111,-9.850
0.250,0.879,0.562,3.503,1.061,-0.110,-9.847
0.260,0.915,0.571,3.502,0.963,-0.110,-9.843
0.270,0.950,0.580,3.501,0.864,-0.109,-9.840
0.280,0.985,0.588,3.500,0.766,-0.108,-9.837
0.290,1.020,0.594,3.499,0.668,-0.107,-9.833
0.300,1.055,0.600,3.498,0.569,-0.106,-9.830
0.310,1.089,0.605,3.497,0.471,-0.106,-9.827
0.320,1.124,0.608,3.496,0.373,-0.105,-9.824
0.330,1.159,0.611,3.495,0.274,-0.105,-9.821
0.340,1.194,0.613,3.494,0.176,-0.105,-9.818
0.350,1.229,0.614,3.493,0.078,-0.104,-9.815
0.360,1.264,0.613,3.492,-0.020,-0.104,-9.812
0.370,1.299,0.612,3.491,-0.118,-0.104,-9.809
0.380,1.334,0.610,3.490,-0.216,-0.104,-9.806
0.390,1.369,0.607,3.489,-0.314,-0.104,-9.804
0.400,1.404,0.603,3.488,-0.412,-0.104,-9.801
0.410,1.439,0.598,3.487,-0.510,-0.105,-9.798
0.420,1.473,0.592,3.485,-0.608,-0.105,-9.795
0.430,1.508,0.585,3.484,-0.706,-0.105,-9.792
0.440,1.543,0.577,3.483,-0.804,-0.106,-9.789
0.450,1.578,0.568,3.482,-0.902,-0.106,-9.785
0.460,1.613,0.558,3.481,-1.000,-0.107,-9.782
0.470,1.648,0.547,3.480,-1.097,-0.108,-9.779
0.480,1.682,0.535,3.479,-1.195,-0.108,-9.776
0.490,1.717,0.522,3.478,-1.293,-0.109,-9.772
0.500,1.752,0.508,3.477,-1.391,-0.110,-9.769
0.510,1.787,0.493,3.476,-1.488,-0.111,-9.766
0.520,1.821,0.477,3.475,-1.586,-0.112,-9.762
0.530,1.856,0.460,3.474,-1.683,-0.113,-9.758
0.540,1.891,0.442,3.472,-1.781,-0.114,-9.755
0.550,1.926,0.424,3.471,-1.878,-0.116,-9.751
0.560,1.960,0.404,3.470,-1.976,-0.117,-9.747
0.570,1.995,0.383,3.469,-2.073,-0.118,-9.743
0.580,2.030,0.361,3.468,-2.171,-0.120,-9.738
0.590,2.064,0.339,3.466,-2.268,-0.121,-9.734
0.600,2.099,0.315,3.465,-2.365,-0.123,-9.730
0.610,2.134,0.290,3.464,-2.463,-0.124,-9.725
0.620,2.168,0.265,3.463,-2.560,-0.126,-9.721
0.630,2.203,0.238,3.461,-2.657,-0.127,-9.716
0.640,2.237,0.211,3.460,-2.754,-0.129,-9.711
0.650,2.272,0.182,3.459,-2.851,-0.131,-9.706
0.660,2.307,0.153,3.458,-2.948,-0.132,-9.701
0.670,2.341,0.122,3.456,-3.045,-0.134,-9.696
0.680,2.376,0.091,3.455,-3.142,-0.136,-9.690
0.690,2.410,0.058,3.453,-3.239,-0.138,-9.685
0.700,2.445,0.025,3.452,-3.336,-0.140,-9.679
0.710,2.479,-0.009,3.451,-3.432,-0.141,-9.673
